transaction_uid,property_id,price,transfer_date,ppd_category
{2131FCF5-AC42-86E8-E063-4804A8C0372B},aedb00a2a86e,315000,2024-04-05,A
{2ACACE8D-3A3A-295E-E063-4804A8C0B0EB},74d91fe85299,363000,2024-11-29,A
{2ACACE8D-3ABB-295E-E063-4804A8C0B0EB},05b3a9735b67,630000,2024-12-04,A
{2131FCF5-AC13-86E8-E063-4804A8C0372B},7f09dc647433,285000,2024-05-30,A
{2131FCF5-ADBA-86E8-E063-4804A8C0372B},cd235b30eca3,840000,2024-05-09,A
{2ACACE8D-3A85-295E-E063-4804A8C0B0EB},14a0c8596d1e,310000,2024-11-29,A
{2131FCF5-ACA0-86E8-E063-4804A8C0372B},bd727fed3d0d,625000,2024-08-15,A
{2131FCF5-AD8A-86E8-E063-4804A8C0372B},388f9b23abbc,415000,2024-07-08,A
{2ACACE8D-3A41-295E-E063-4804A8C0B0EB},acdd12763d30,250000,2024-11-26,A
{2131FCF5-ACB5-86E8-E063-4804A8C0372B},5ab6e2ad04e3,600000,2024-08-01,A
{1EAE3DF7-75B8-9EB1-E063-4704A8C09D02},8fa3f46d95e0,292000,2024-02-02,B
{2ACACE8D-3A69-295E-E063-4804A8C0B0EB},e6c7ad61ff72,280000,2024-11-01,A
{2ACACE8D-3AD0-295E-E063-4804A8C0B0EB},d3066b1e3f39,237450,2024-11-14,A
{2131FCF5-AD18-86E8-E063-4804A8C0372B},3808a54b64b8,625000,2024-07-12,A
{2131FCF5-AC04-86E8-E063-4804A8C0372B},99c0f5006f3e,260000,2024-04-12,A
{2131FCF5-ABDB-86E8-E063-4804A8C0372B},48e1977af46f,370000,2024-08-12,A
{2ACACE8D-3A2C-295E-E063-4804A8C0B0EB},f828205fa606,1150000,2024-11-14,A
{2ACACE8D-3AAD-295E-E063-4804A8C0B0EB},fa3b8d49392d,327500,2024-11-07,A
{2131FCF5-AD19-86E8-E063-4804A8C0372B},8e15a879ba9a,520000,2024-07-18,A
{2131FCF5-AD4C-86E8-E063-4804A8C0372B},eb56e3c4f026,305000,2024-08-01,A
{2131FCF5-AC75-86E8-E063-4804A8C0372B},66fbd9268b79,780000,2024-08-12,A
{2131FCF5-ABFE-86E8-E063-4804A8C0372B},6ab24e4b1cdc,280000,2024-04-26,A
{2131FCF5-AD16-86E8-E063-4804A8C0372B},b1bbb53a0274,625000,2024-04-10,A
{2131FCF5-AC3E-86E8-E063-4804A8C0372B},cb8f2198bc44,555000,2024-04-12,A
{2131FCF5-AC06-86E8-E063-4804A8C0372B},0fb106c3775c,357500,2024-04-23,A
{2ACACE8D-3AD2-295E-E063-4804A8C0B0EB},fab3905e0889,375000,2024-12-17,A
{2ACACE8D-3AE8-295E-E063-4804A8C0B0EB},42e1f4d50c20,330000,2024-12-12,A
{2131FCF5-ACAC-86E8-E063-4804A8C0372B},0afe6738144f,445000,2024-03-28,A
{2131FCF5-AD42-86E8-E063-4804A8C0372B},eaf38a975ca8,680000,2024-08-09,A
