obs_id,station_id,year,month,tmax_c,tmin_c,af_days,rain_mm,sun_hours
heathrow_1990_01,heathrow,1990,1,10.2,4.4,0.0,71.1,57.6
heathrow_1990_02,heathrow,1990,2,11.7,5.3,1.0,92.3,94.3
heathrow_1990_03,heathrow,1990,3,13.6,4.8,1.0,6.9,154.6
heathrow_1990_04,heathrow,1990,4,14.6,4.2,3.0,29.7,245.0
heathrow_1990_05,heathrow,1990,5,20.5,9.0,0.0,4.1,287.0
heathrow_1990_06,heathrow,1990,6,19.5,10.8,0.0,39.5,132.5
heathrow_1990_07,heathrow,1990,7,24.7,13.2,0.0,6.9,273.2
heathrow_1990_08,heathrow,1990,8,26.0,14.7,0.0,26.8,249.3
heathrow_1990_09,heathrow,1990,9,19.7,10.0,0.0,24.9,173.4
heathrow_1990_10,heathrow,1990,10,16.9,9.6,0.0,49.7,122.5
heathrow_1990_11,heathrow,1990,11,10.7,5.1,0.0,22.1,70.0
heathrow_1990_12,heathrow,1990,12,7.6,2.5,7.0,51.4,47.8
heathrow_1991_01,heathrow,1991,1,7.3,1.8,3.0,69.7,68.4
heathrow_1991_02,heathrow,1991,2,5.4,-1.3,16.0,34.7,48.5
heathrow_1991_03,heathrow,1991,3,12.5,5.3,2.0,25.9,102.7
heathrow_1991_04,heathrow,1991,4,13.1,4.8,2.0,52.8,158.5
heathrow_1991_05,heathrow,1991,5,15.7,7.7,0.0,9.1,138.7
heathrow_1991_06,heathrow,1991,6,17.8,9.7,0.0,88.6,135.0
heathrow_1991_07,heathrow,1991,7,23.2,14.4,0.0,92.9,218.6
heathrow_1991_08,heathrow,1991,8,24.1,14.4,0.0,26.0,241.7
heathrow_1991_09,heathrow,1991,9,21.4,11.5,0.0,43.7,183.0
heathrow_1991_10,heathrow,1991,10,14.6,7.6,0.0,18.5,87.1
heathrow_1991_11,heathrow,1991,11,10.6,4.2,5.0,59.3,59.2
heathrow_1991_12,heathrow,1991,12,8.3,1.7,12.0,12.0,60.7
heathrow_1992_01,heathrow,1992,1,7.5,2.0,11.0,12.6,56.0
heathrow_1992_02,heathrow,1992,2,9.5,2.3,8.0,17.7,50.3
heathrow_1992_03,heathrow,1992,3,11.8,4.9,0.0,38.5,61.8
heathrow_1992_04,heathrow,1992,4,14.0,5.6,1.0,57.1,129.7
heathrow_1992_05,heathrow,1992,5,21.0,10.2,0.0,94.5,271.9
